Job Title,Salary Estimate,Location,min_salary,max_salary,avg_salary,,,,,,,,,
Principal Data Scientist ,$200K-$250K,"San Francisco, CA",200,250,225,,,,,,,,,
MED TECH/LAB SCIENTIST - LABORATORY,$21-$34   ,"Lewes, DE",21,34,27.5,,,,,,,,,
Sr. Scientist,$117K-$206K  ,"Boston, MA",117,206,161.5,,,,,,,,,
Sr. Data Scientist II,$111K-$183K  ,"New York, NY",111,183,147,,,,,,,,,
Excel / VBA / SQL Data Analyst,$44K-$78K  ,"Springfield, MO",44,78,61,,,,,,,,,
Machine Learning Research Scientist,$81K-$159K  ,"Pittsburgh, PA",81,159,120,,,,,,,,,
"VP, Data Science",$83K-$166K  ,"Phoenix, AZ",83,166,124.5,,,,,,,,,
Senior Data Scientist,$114K-$182K  ,"Burbank, CA",114,182,148,,,,,,,,,
Radar Data Analyst,$42K-$76K  ,"Huntsville, AL",42,76,59,,,,,,,,,
PL Actuarial-Lead Data Scientist,$114K-$179K  ,"Worcester, MA",114,179,146.5,,,,,,,,,
PV Scientist,$60K-$123K  ,"Newton, MA",60,123,91.5,,,,,,,,,
Senior Data & Machine Learning Scientist,$100K-$166K  ,"Chicago, IL",100,166,133,,,,,,,,,
Principal Data Scientist (Computational Chemistry),$108K-$173K  ,"Salt Lake City, UT",108,173,140.5,,,,,,,,,
Data Engineer,$48K-$93K  ,"Lafayette, LA",48,93,70.5,,,,,,,,,
"Principal Scientist, Chemistry & Immunology",$54K-$115K  ,"Rochester, NY",54,115,84.5,,,,,,,,,
Software Engineer - Data Visualization,$60K-$127K  ,"Annapolis Junction, MD",60,127,93.5,,,,,,,,,
"Scientist/Senior Scientist, Autoimmune",$90K-$179K  ,"Cambridge, MA",90,179,134.5,,,,,,,,,
Staff Machine Learning Engineer,$138K-$224K  ,"San Francisco, CA",138,224,181,,,,,,,,,
"Principal Scientist, Hematology",$54K-$115K  ,"Rochester, NY",54,115,84.5,,,,,,,,,
Lead Data Engineer,$190K-$220K,"Mountain View, CA",190,220,205,,,,,,,,,
Marketing Data Analyst,$35K-$62K  ,"Highland, CA",35,62,48.5,,,,,,,,,
Medical Laboratory Scientist,$18-$25   ,"Burleson, TX",18,25,21.5,,,,,,,,,
R&D Specialist/ Food Scientist,$39K-$66K  ,"Hoopeston, IL",39,66,52.5,,,,,,,,,
Senior Research Scientist-Machine Learning,$81K-$167K  ,"Pittsburgh, PA",81,167,124,,,,,,,,,
Analytics Manager - Data Mart,$42K-$86K  ,"Scotts Valley, CA",42,86,64,,,,,,,,,
Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K  ,"Knoxville, TN",69,127,98,,,,,,,,,
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34   ,"Millville, DE",21,34,27.5,,,,,,,,,
Food Scientist - Developer,$40K-$68K  ,"Milwaukee, WI",40,68,54,,,,,,,,,
Staff Scientist-Downstream Process Development,$49K-$113K  ,"Rockville, MD",49,113,81,,,,,,,,,
Sr. Data Engineer,$75K-$140K  ,"Chicago, IL",75,140,107.5,,,,,,,,,
Data Scientist - Quantitative,$86K-$139K  ,"Chicago, IL",86,139,112.5,,,,,,,,,
Data Scientist,$66K-$112K  ,"Herndon, VA",66,112,89,,,,,,,,,
Senior Research Statistician- Data Scientist,$76K-$125K  ,"Sheboygan, WI",76,125,100.5,,,,,,,,,
"Business Data Analyst, SQL",$44K-$86K  ,"New York, NY",44,86,65,,,,,,,,,
Medical Technologist / Clinical Laboratory Scientist,$15-$25   ,"New Orleans, LA",15,25,20,,,,,,,,,
Data Scientist,$53K-$92K  ,"Dallas, TX",53,92,72.5,,,,,,,,,
Senior Data Analyst,$44K-$78K  ,"Clearwater, FL",44,78,61,,,,,,,,,
BI & Platform Analytics Manager,$85K-$134K  ,"Ewing, NJ",85,134,109.5,,,,,,,,,
Data Engineer,$59K-$110K  ,"Cambridge, MA",59,110,84.5,,,,,,,,,
Data Scientist,$64K-$111K  ,"Chicago, IL",64,111,87.5,,,,,,,,,
Data Analyst,$65K-$120K  ,"San Mateo, CA",65,120,92.5,,,,,,,,,
Associate Data Scientist/Computer Scientist,$60K-$103K  ,"McLean, VA",60,103,81.5,,,,,,,,,
Business Intelligence Analyst / Developer,$53K-$105K  ,"Dayton, OH",53,105,79,,,,,,,,,
Lead Data Scientist,$124K-$204K  ,"Boston, MA",124,204,164,,,,,,,,,
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K  ,"South San Francisco, CA",131,207,169,,,,,,,,,
Senior Data Scientist,$110K-$174K  ,"Cupertino, CA",110,174,142,,,,,,,,,
Data Analyst,$33K-$62K  ,"Parlier, CA",33,62,47.5,,,,,,,,,
Pricipal Scientist Molecular and cellular biologist,$52K-$101K  ,"Boston, MA",52,101,76.5,,,,,,,,,
Data Analyst,$48K-$90K  ,"San Francisco, CA",48,90,69,,,,,,,,,
Data Analyst,$34K-$64K  ,"Meridian, ID",34,64,49,,,,,,,,,
Staff Data Scientist,$132K-$211K  ,"San Jose, CA",132,211,171.5,,,,,,,,,
"Data Scientist (Actuary, FSA or ASA)",$81K-$133K  ,"Frederick, MD",81,133,107,,,,,,,,,
System and Data Analyst,$42K-$76K  ,"Cherry Hill, NJ",42,76,59,,,,,,,,,
Data Scientist,$66K-$111K  ,"Indianapolis, IN",66,111,88.5,,,,,,,,,
Data Engineer 5 - Contract ,$74K-$140K  ,"Riverton, UT",74,140,107,,,,,,,,,
Digital Health Data Scientist,$63K-$110K  ,"Cambridge, MA",63,110,86.5,,,,,,,,,
Data Scientist,$63K-$105K  ,"Louisville, KY",63,105,84,,,,,,,,,
Data & Analytics Consultant ,$91K-$138K  ,"New York, NY",91,138,114.5,,,,,,,,,
Senior Scientist - Neuroscience,$100K-$190K  ,"Marlborough, MA",100,190,145,,,,,,,,,
Data Engineer,$62K-$114K  ,"Nashville, TN",62,114,88,,,,,,,,,
Big Data Engineer ,$71K-$129K  ,"Chicago, IL",71,129,100,,,,,,,,,
Senior Data Analyst,$43K-$80K  ,"Herndon, VA",43,80,61.5,,,,,,,,,
Data Scientist,$74K-$119K  ,"Portland, OR",74,119,96.5,,,,,,,,,
Survey Data Analyst,$55K-$97K  ,"Minneapolis, MN",55,97,76,,,,,,,,,
Data Scientist,$15K-$16K ,"Port Washington, NY",15,16,15.5,,,,,,,,,
Data Scientist,$61K-$106K  ,"Austin, TX",61,106,83.5,,,,,,,,,
"Risk and Analytics IT, Data Scientist",$91K-$149K  ,"Madison, WI",91,149,120,,,,,,,,,
Data Scientist,$127K-$199K  ,"South San Francisco, CA",127,199,163,,,,,,,,,
Lead Health Data Analyst ,$74K-$126K  ,"Providence, RI",74,126,100,,,,,,,,,
Research Scientist,$33K-$72K  ,"Omaha, NE",33,72,52.5,,,,,,,,,
Medical Lab Scientist,$17-$24   ,"West Reading, PA",17,24,20.5,,,,,,,,,
Junior Data Analyst,$37K-$63K  ,"Washington, DC",37,63,50,,,,,,,,,
SQL Data Engineer,$67K-$119K  ,"Austin, TX",67,119,93,,,,,,,,,
Data Scientist,$72K-$117K  ,"Cincinnati, OH",72,117,94.5,,,,,,,,,
